tratamiento,repeticion,individuo,hongo,petalo,NUM_hongo,NUM_petalo
1,1,1,100.0,0.0,1.91,3.09
1,1,2,74.55,25.45,1.91,3.09
1,1,3,16.68,83.32,1.91,3.09
1,1,4,0.01,99.99,1.91,3.09
1,1,5,0.0,100.0,1.91,3.09
1,2,1,100.0,0.0,1.91,3.09
1,2,2,74.76,25.24,1.91,3.09
1,2,3,16.65,83.35,1.91,3.09
1,2,4,0.01,99.99,1.91,3.09
1,2,5,0.0,100.0,1.91,3.09
1,3,1,95.23,4.77,3.03,1.97
1,3,2,100.0,0.0,3.03,1.97
1,3,3,0.17,99.83,3.03,1.97
1,3,4,7.39,92.61,3.03,1.97
1,3,5,100.0,0.0,3.03,1.97
2,1,1,0.11,99.89,0.0,5.0
2,1,2,0.0,100.0,0.0,5.0
2,1,3,0.0,100.0,0.0,5.0
2,1,4,0.0,100.0,0.0,5.0
2,1,5,0.0,100.0,0.0,5.0
2,2,1,0.0,100.0,0.01,4.99
2,2,2,0.85,99.15,0.01,4.99
2,2,3,0.0,100.0,0.01,4.99
2,2,4,0.0,100.0,0.01,4.99
2,2,5,0.62,99.38,0.01,4.99
2,3,1,0.11,99.89,0.0,5.0
2,3,2,0.0,100.0,0.0,5.0
2,3,3,0.0,100.0,0.0,5.0
2,3,4,0.0,100.0,0.0,5.0
2,3,5,0.0,100.0,0.0,5.0
3,1,1,81.76,18.24,2.21,2.79
3,1,2,100.0,0.0,2.21,2.79
3,1,3,0.0,100.0,2.21,2.79
3,1,4,38.57,61.43,2.21,2.79
3,1,5,0.45,99.55,2.21,2.79
3,2,1,100.0,0.0,3.0,2.0
3,2,2,100.0,0.0,3.0,2.0
3,2,3,0.0,100.0,3.0,2.0
3,2,4,0.0,100.0,3.0,2.0
3,2,5,100.0,0.0,3.0,2.0
3,3,1,100.0,0.0,2.85,2.15
3,3,2,88.72,11.28,2.85,2.15
3,3,3,0.83,99.17,2.85,2.15
3,3,4,2.03,97.97,2.85,2.15
3,3,5,93.43,6.57,2.85,2.15
